Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Fran Garcia,Real Madrid,La Liga,Defender,0.0,0.08,0.08,0.0,0.08,0.04,0.08,0.11,0.04,0.11,78,119,177
Ulisses Garcia,Marseille,Ligue 1,Defender,0.19,0.19,0.39,0.19,0.39,0.15,0.14,0.28,0.15,0.28,23,53,87
Aleix García,Leverkusen,Bundesliga,Midfielder,0.19,0.25,0.43,0.19,0.43,0.06,0.3,0.36,0.06,0.36,27,120,47
Rubén García,Osasuna,La Liga,Attacker,0.19,0.19,0.37,0.19,0.37,0.12,0.13,0.25,0.12,0.25,37,112,157
Álvaro García,Rayo Vallecano,La Liga,Attacker,0.14,0.18,0.32,0.14,0.32,0.27,0.18,0.44,0.27,0.44,68,71,245
Eric García,Barcelona,La Liga,Defender,0.11,0.17,0.29,0.11,0.29,0.13,0.05,0.18,0.13,0.18,18,109,22
Alejandro Garnacho,Manchester Utd,Premier League,Midfielder,0.25,0.08,0.33,0.25,0.33,0.3,0.19,0.48,0.3,0.48,141,56,290
James Garner,Everton,Premier League,Midfielder,0.0,0.06,0.06,0.0,0.06,0.04,0.08,0.12,0.04,0.12,15,50,30
Yarek Gasiorowski,Valencia,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,9,38,0
Federico Gatti,Juventus,Serie A,Defender,0.04,0.0,0.04,0.04,0.04,0.1,0.02,0.12,0.1,0.12,24,73,6
Gavi,Barcelona,La Liga,Midfielder,0.08,0.08,0.17,0.08,0.17,0.07,0.13,0.2,0.07,0.2,13,77,42
José Luis Gayà,Valencia,La Liga,Defender,0.0,0.05,0.05,0.0,0.05,0.05,0.13,0.18,0.05,0.18,29,59,156
Mory Gbane,Reims,Ligue 1,Defender,0.0,0.08,0.08,0.0,0.08,0.01,0.05,0.06,0.01,0.06,3,35,9
Yann Gboho,Toulouse,Ligue 1,Midfielder,0.19,0.15,0.35,0.19,0.35,0.21,0.14,0.35,0.21,0.35,116,103,189
Lutsharel Geertruida,RB Leipzig,Bundesliga,Defender,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.12,21,93,34
Valentin Gendrey,Hoffenheim,Bundesliga,Defender,0.06,0.06,0.13,0.06,0.13,0.07,0.12,0.19,0.07,0.19,24,49,86
Yannick Gerhardt,Wolfsburg,Bundesliga,Midfielder,0.06,0.06,0.12,0.06,0.12,0.07,0.01,0.08,0.07,0.08,27,57,63
Max Geschwill,Holstein Kiel,Bundesliga,Defender,0.07,0.14,0.21,0.07,0.21,0.06,0.05,0.12,0.06,0.12,6,58,16
Daniele Ghilardi,Hellas Verona,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,16,57,7
Dimitris Giannoulis,Augsburg,Bundesliga,Defender,0.03,0.14,0.17,0.03,0.17,0.04,0.14,0.18,0.04,0.18,60,104,164
Morgan Gibbs-White,Nott'ham Forest,Premier League,Midfielder,0.22,0.26,0.48,0.22,0.48,0.2,0.16,0.36,0.2,0.36,69,164,136
Armin Gigovic,Holstein Kiel,Bundesliga,Midfielder,0.24,0.05,0.28,0.24,0.28,0.09,0.1,0.19,0.09,0.19,37,50,45
Bryan Gil,Girona,La Liga,Attacker,0.16,0.16,0.31,0.16,0.31,0.12,0.15,0.27,0.12,0.27,76,74,210
Mario Gila,Lazio,Serie A,Defender,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,48,157,12
Billy Gilmour,Napoli,Serie A,Midfielder,0.0,0.08,0.08,0.0,0.08,0.04,0.14,0.18,0.04,0.18,11,67,18
Benedikt Gimber,Heidenheim,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,7,46,8
José María Giménez,Atlético Madrid,La Liga,Defender,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,3,64,1
Gvidas Gineitis,Torino,Serie A,Midfielder,0.19,0.06,0.25,0.19,0.25,0.08,0.13,0.21,0.08,0.21,15,36,43
Matthias Ginter,Freiburg,Bundesliga,Defender,0.07,0.04,0.11,0.07,0.11,0.1,0.02,0.12,0.1,0.12,11,113,16
Jamie Gittens,Dortmund,Bundesliga,Attacker,0.41,0.15,0.56,0.41,0.56,0.18,0.13,0.31,0.18,0.31,113,42,180
Serge Gnabry,Bayern Munich,Bundesliga,Attacker,0.51,0.36,0.87,0.51,0.87,0.55,0.37,0.92,0.49,0.86,44,48,149
Saba Goglichidze,Empoli,Serie A,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,12,45,9
Edoardo Goldaniga,Como,Serie A,Defender,0.04,0.0,0.04,0.04,0.04,0.09,0.01,0.1,0.09,0.1,20,81,8
Aleksandr Golovin,Monaco,Ligue 1,Midfielder,0.23,0.0,0.23,0.23,0.23,0.18,0.19,0.37,0.18,0.37,39,112,72
João Gomes,Wolves,Premier League,Midfielder,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12,59,165,76
Toti Gomes,Wolves,Premier League,Defender,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.06,27,86,18
André Gomes,Lille,Ligue 1,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,18,101,28
Urko González,Espanyol,La Liga,Midfielder,0.0,0.13,0.13,0.0,0.13,0.04,0.05,0.08,0.04,0.08,18,62,8
Nicolás González,Juventus,Serie A,Attacker,0.15,0.1,0.26,0.15,0.26,0.21,0.06,0.26,0.21,0.26,35,69,123
Anthony Gordon,Newcastle Utd,Premier League,Attacker,0.22,0.18,0.41,0.18,0.37,0.3,0.18,0.48,0.24,0.42,121,98,214
Leon Goretzka,Bayern Munich,Bundesliga,Midfielder,0.27,0.07,0.34,0.27,0.34,0.19,0.11,0.3,0.19,0.3,35,127,28
Andoni Gorosabel,Athletic Club,La Liga,Defender,0.0,0.12,0.12,0.0,0.12,0.02,0.11,0.13,0.02,0.13,17,51,59
Robin Gosens,Fiorentina,Serie A,Defender,0.18,0.18,0.36,0.18,0.36,0.06,0.08,0.15,0.06,0.15,31,102,91
